title,overview,price,stock,description,link
Shock & Swim 15 1 lb | CVCF001,"ClearView Shock & Swim 15, Chlorine Free Shock, 1lb",$5.95,Out of stock,"Chlor Free Shock &amp; Swim 15Part: CVCF001Multiple - See DescriptionNon-chlorine shock oxidizer removes organic contaminants and improves water clarity.Description•	Active Ingredient: 45% Potassium Monopersulfate•	Removes chloramines•	Safe with Chlorine, Bromine, and copper/silver sanitizer systems•	Will not raise Chlorine to unsafe levels•	Re-enter pool as quickly as 15 minutes after application•	Restores sparkle and clarity to dull water•	Will not bleach or fade vinyl liners•	Shock/shocks manufacturer sku: CVCF001 size: 1 lb brand: OREQ",https://www.freshpoolsupply.com/chemical/chlorine/shock-swim-15-1-lbvar.html
PL Rapid Shock [55x 1 lb] | 22250,Poolife Rapid Shock [55x 1 lb],$284.95,Out of stock,"Poolife™ Rapid Shock™ Shock TreatmentQuickly brings chlorine levels into balance after heavy pool usage and after rain or windstorms. It works fast to rid the pool water of contaminants and keep it ready for a refreshing, clean swim.•	After a good pool party—or a good rain or windstorm—contaminants can build up in your pool water•	Poolife™ Rapid Shock works fast to clear contaminants, so your pool water is ready for your next clean, refreshing swim•	Cal Hypo formula quickly brings chlorine levels into balance without adding additional cyanuric acid (CYA)•	Use Poolife™ Rapid Shock to shock treat your pool water once a week—no need to pre-mix•	For best results, test and balance your pool water then follow the easy step-by-step, on-pack instructions to shock treat•	Active ingredient: 68% Calcium Hypochlorite (Cal Hypo) manufacturer sku: 22250 size: 55 lb brand: POOLIFE",https://www.freshpoolsupply.com/chemical/chlorine/pl-rapid-shock-55x-1-lb-cnh.html
"Spa Chlorinator 1"" Tabs | 27052-019-000",Chlorinator Floating Spa Disinfector Bottom Load; Blue,$16.95,In stock,nan manufacturer sku: 27052-019-000 brand: CMP,https://www.freshpoolsupply.com/chemical/chlorine/spa-chlorinator-1-tabsaor.html
PL Non Chlorine Oxidizer 1 lb 24pk | 22102PK24,Poolife Non Chlorine Oxidizer 1 lb 24pk,$186.95,Out of stock,nan manufacturer sku: 22102PK24 size: 24 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-non-chlorine-oxidizer-1-lb-24pkasm.html
PL MPT Tabs 4lb | 42120,Poolife MPT Extra,$50.95,Out of stock,nan manufacturer sku: 42120 size: 4 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-mpt-tabs-4lbzrf.html
PL Instant Clear Cleaning Granules 35 lb | 32101,Poolife Instant Clear Cleaning Granules,$215.95,Out of stock,nan manufacturer sku: 32101 size: 35 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-instant-clear-cleaning-granules-35-lbixf.html
PL Clean Shock 1 lb 24pk | 52401PK24,Poolife Clean Shock 1 lb 24pk,$195.95,Out of stock,nan manufacturer sku: 52401PK24 size: 24 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-clean-shock-1-lb-24pkfqw.html
PL TurboShock 1 lb | 22405,Poolife Turbo Shock Shock Treatment,$8.95,In stock,"Poolife™ TurboShock™ Shock Treatment: Cal Hypo ShockSKUs: 22405, 22406, 22403, 22402, 62082 &amp; 22404The strongest Cal Hypo shock product in the industry! Dissolves quickly and completely to combat algae and bacteria and keep pool water sparkling clean and clear with less work.•	Quickly and easily combat algae and bacteria with the strongest Cal Hypo shock in the industry•	Step 2 of the 3-step Poolife™ MPT Extra™ System, Poolife™ TurboShock keeps pool water clean and crystal clear•	Quick-dissolving cal hypo shock, great for all pool surfaces•	Use Poolife™ TurboShock to shock treat pool water once a week — no need to pre-dissolve Poolife’s cal hypo shock•	For best results, test and balance your pool water then follow the easy step-by-step, on-pack instructions to shock treat with Poolife cal hypo shock•	Active ingredient: 78% Calcium Hypochlorite (Cal Hypo) manufacturer sku: 22405 size: 1 lb brand: POOLIFE",https://www.freshpoolsupply.com/chemical/chlorine/pl-turboshock-1-lbhfy.html
PL Clean Shock 1 lb | 52401,Poolife Clean Shock,$8.95,In stock,nan manufacturer sku: 52401 size: 1 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-clean-shock-1-lbdle.html
PL Active Cleaning Granules 25 lb | 22206,Poolife Active Cleaning Granules 68% Cal-Hypo Granular,$135.95,In stock,nan manufacturer sku: 22206 size: 25 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-active-cleaning-granules-25-lbqyw.html
"PL 3"" Tabs 50lb | 42118","Poolife 3"" Cleaning Tablets",$298.95,Out of stock,nan manufacturer sku: 42118 size: 50 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-3-tabs-50lbyds.html
"PL 3"" Tabs 25lb | 42116","Poolife 3"" Cleaning Tablets",$160.95,Out of stock,nan manufacturer sku: 42116 size: 25 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-3-tabs-25lbkiu.html
PL Active Cleaning Granules 50 lb | 22208,Poolife Active Cleaning Granules 68% Cal-Hypo Granular,$201.95,In stock,nan manufacturer sku: 22208 size: 50 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-active-cleaning-granules-50-lbwcg.html
PL Non Chlorine Oxidizer 1 lb | 22102,Poolife Non Chlorine Oxidizer,$7.95,In stock,nan manufacturer sku: 22102 size: 1 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-non-chlorine-oxidizer-1-lbhgs.html
PL TurboShock 5 lb | 22403,Poolife Turbo Shock Shock Treatment,$43.95,In stock,"Poolife™ TurboShock™ Shock Treatment: Cal Hypo ShockSKUs: 22405, 22406, 22403, 22402, 62082 &amp; 22404The strongest Cal Hypo shock product in the industry! Dissolves quickly and completely to combat algae and bacteria and keep pool water sparkling clean and clear with less work.•	Quickly and easily combat algae and bacteria with the strongest Cal Hypo shock in the industry•	Step 2 of the 3-step Poolife™ MPT Extra™ System, Poolife™ TurboShock keeps pool water clean and crystal clear•	Quick-dissolving cal hypo shock, great for all pool surfaces•	Use Poolife™ TurboShock to shock treat pool water once a week — no need to pre-dissolve Poolife’s cal hypo shock•	For best results, test and balance your pool water then follow the easy step-by-step, on-pack instructions to shock treat with Poolife cal hypo shock•	Active ingredient: 78% Calcium Hypochlorite (Cal Hypo) manufacturer sku: 22403 size: 5 lb brand: POOLIFE",https://www.freshpoolsupply.com/chemical/chlorine/pl-turboshock-5-lbtiu.html
PL TurboShock 17 lb | 22402,Poolife Turbo Shock Shock Treatment,$128.95,Out of stock,"Poolife™ TurboShock™ Shock Treatment: Cal Hypo ShockSKUs: 22405, 22406, 22403, 22402, 62082 &amp; 22404The strongest Cal Hypo shock product in the industry! Dissolves quickly and completely to combat algae and bacteria and keep pool water sparkling clean and clear with less work.•	Quickly and easily combat algae and bacteria with the strongest Cal Hypo shock in the industry•	Step 2 of the 3-step Poolife™ MPT Extra™ System, Poolife™ TurboShock keeps pool water clean and crystal clear•	Quick-dissolving cal hypo shock, great for all pool surfaces•	Use Poolife™ TurboShock to shock treat pool water once a week — no need to pre-dissolve Poolife’s cal hypo shock•	For best results, test and balance your pool water then follow the easy step-by-step, on-pack instructions to shock treat with Poolife cal hypo shock•	Active ingredient: 78% Calcium Hypochlorite (Cal Hypo) manufacturer sku: 22402 size: 17 lb brand: POOLIFE",https://www.freshpoolsupply.com/chemical/chlorine/pl-turboshock-17-lbedb.html
PL TurboShock 25 lb | 62082,Poolife Turbo Shock Shock Treatment,$166.95,In stock,"Poolife™ TurboShock™ Shock Treatment: Cal Hypo ShockSKUs: 22405, 22406, 22403, 22402, 62082 &amp; 22404The strongest Cal Hypo shock product in the industry! Dissolves quickly and completely to combat algae and bacteria and keep pool water sparkling clean and clear with less work.•	Quickly and easily combat algae and bacteria with the strongest Cal Hypo shock in the industry•	Step 2 of the 3-step Poolife™ MPT Extra™ System, Poolife™ TurboShock keeps pool water clean and crystal clear•	Quick-dissolving cal hypo shock, great for all pool surfaces•	Use Poolife™ TurboShock to shock treat pool water once a week — no need to pre-dissolve Poolife’s cal hypo shock•	For best results, test and balance your pool water then follow the easy step-by-step, on-pack instructions to shock treat with Poolife cal hypo shock•	Active ingredient: 78% Calcium Hypochlorite (Cal Hypo) manufacturer sku: 62082 size: 25 lb brand: POOLIFE",https://www.freshpoolsupply.com/chemical/chlorine/pl-turboshock-25-lbdvn.html
Shimmer N' Shock DiChlor 1 lb 12pk | CVDB001PK12,Shimmer n Shock Dc 1 lb 12pk,$98.95,Out of stock,Shimmer-N' ShockPart: Multiple - CVDB001PK12Chlorine-based shock treatment to control bacteria and algae.Description•	Active Ingredient: 99% Sodium Dichlor•	No pre-dissolving•	Completely soluble•	No residue•	Will not cause pH bounce•	Economical shock treatment•	Restores sparkle and clarity to dull water•	Perfect for vinyl-lined or above ground pools•	Shock/shocks manufacturer sku: CVDB001PK12 size: 12 lb brand: OREQ,https://www.freshpoolsupply.com/chemical/chlorine/shimmer-n-shock-dichlor-1-lb-12pkqbl.html
PL Non Chlorine Oxidizer 1 lb 12pk | 22102PK12,Poolife Non Chlorine Oxidizer 1 lb 12pk,$93.95,Out of stock,nan manufacturer sku: 22102PK12 size: 12 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-non-chlorine-oxidizer-1-lb-12pkfem.html
PL TurboShock 1 lb 12pk | 22405PK12,Poolife TurboShock 1 lb 12pk,$85.95,In stock,"Poolife™ TurboShock™ Shock Treatment: Cal Hypo ShockSKUs: 22405, 22406, 22403, 22402, 62082 &amp; 22404The strongest Cal Hypo shock product in the industry! Dissolves quickly and completely to combat algae and bacteria and keep pool water sparkling clean and clear with less work.•	Quickly and easily combat algae and bacteria with the strongest Cal Hypo shock in the industry•	Step 2 of the 3-step Poolife™ MPT Extra™ System, Poolife™ TurboShock keeps pool water clean and crystal clear•	Quick-dissolving cal hypo shock, great for all pool surfaces•	Use Poolife™ TurboShock to shock treat pool water once a week — no need to pre-dissolve Poolife’s cal hypo shock•	For best results, test and balance your pool water then follow the easy step-by-step, on-pack instructions to shock treat with Poolife cal hypo shock•	Active ingredient: 78% Calcium Hypochlorite (Cal Hypo) manufacturer sku: 22405PK12 size: 12 lb brand: POOLIFE",https://www.freshpoolsupply.com/chemical/chlorine/pl-turboshock-1-lb-12pkkcb.html
"PL 3"" Tabs 4.81lb | 42107","Poolife 3"" Cleaning Tablets",$42.95,Out of stock,nan manufacturer sku: 42107 size: 4.81 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-3-tabs-4-81lbzho.html
PL Clean Shock 1 lb 12pk | 52401PK12,Poolife Clean Shock 1 lb 12pk,$97.95,Out of stock,nan manufacturer sku: 52401PK12 size: 12 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-clean-shock-1-lb-12pkfhj.html
PL Instant Clear Cleaning Granules 5 lb | 32102,Poolife Instant Clear Cleaning Granules,$38.95,In stock,nan manufacturer sku: 32102 size: 5 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-instant-clear-cleaning-granules-5-lbmay.html
PL NST Prime 20.6lb | 22425,"Poolife NST Prime 70% Cal-Hypo Tablet, 20.6lb.",$152.95,In stock,nan manufacturer sku: 22425 size: 20.6 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-nst-prime-20-6lboay.html
"Scent-Trific 3"" Jumbo Tabs 10 lb | CVTLST010","ClearView Scent-TrificTM Tabs Full Strength, Low Odor Chlorine Tabs Features: – 99% premium grade Trichlor – World’s first low odor chlorine in a floral fresh scent package – Individually wrapped 8  Oz. tab – No gummy binders Benefits: – Reduced store odor – No film or clogging of skimmers, chlorinators or filters – Ensures safe, sanitary, sparkling water",$79.95,In stock,"Scent-Trific Jumbo Tabs 3Part: CVTLST010Scent-Trific Chlorine Plus Tabs are an advanced, low odor, full strength, chlorine technology. No other tab delivers more!Description•	Worlds first low odor chlorine in a floral fresh scent package•	Full Strength•	Low Odor•	99% premium grade Trichlor•	No gummy binders•	Reduced store odor•	No film or clogging of skimmers, chlorinators, or filters•	Ensures safe, sanitary, sparkling water•	Sanitizer / Sanitizers manufacturer sku: CVTLST010 size: 10 lb brand: OREQ",https://www.freshpoolsupply.com/chemical/chlorine/scent-trific-3-jumbo-tabs-10-lbkca.html
CCH Endurance 25lb Tabs | 23227,CC Endurance 25lb Tabs,$96.95,Out of stock,nan manufacturer sku: 23227 size: 25 lb brand: CCH,https://www.freshpoolsupply.com/chemical/chlorine/cch-endurance-25lb-tabswer.html
ClearView Tabs 25 lb | CVTL025U,"ClearView 3"" Jumbo Tab Unwrapped Pail, 25 Lb",$135.95,In stock,"Jumbo Tabs 3""Part: CVTL025U99% pure, hard pressed, 8 Oz. chlorine tabs provide safe, clean and sanitized water.Description•	99% Trichlor Chlorine•	No gummy binders•	Hard-pressed 8 Oz tabs•	No film or clogging of skimmers, chlorinators, or filters•	Ensures safe, sanitary, and sparkling water•	Unwrapped•	Sanitizer / Sanitizers manufacturer sku: CVTL025U size: 25 lb brand: OREQ",https://www.freshpoolsupply.com/chemical/chlorine/clearview-tabs-25-lbajj.html
Tab Floater 1 In  | CL270,"Tab Floater Chlorinator 1""",$5.95,Out of stock,"POP-UP Brominator / ChlorinatorPart: CL270POP-UP Spa Brominator/Chlorinator. Expands to size for easy storage, taking up only 4 3/4"" x 2 5/8' on the shelf.Description•	POP-UP Spa Brominator/Chlorinator•	For 1"" Tabs•	Opens to 4.75"" W x 4.62"" H•	Color: Blue &amp; white manufacturer sku: CL270 brand: OREQ",https://www.freshpoolsupply.com/chemical/chlorine/tab-floater-1-in-ppc.html
Chillin Charlie Chlorinator | CL380,Chillin Charlie Floating Chlorinator,$36.95,In stock,"Chillin' Charlie ChlorinatorPart: CL380*** New Design ***Chill out with the cool dude at the pool! Chillin' Charlie floats on his own iceberg while chlorine is distributed throughout the pool.Description•	3”-tab chlorinators•	4 lb. capacity•	Cute penguin design to add an element of fun to your pool •	Integrated color throughout both the top of the iceberg and base•	Pop-up, locking base for less storage space•	Adjustable flow control base. Simply twist the bottom cuff to expose as many open slats as you'd like to allow for the appropriate amount of flow and chemical release. manufacturer sku: CL380 brand: OREQ",https://www.freshpoolsupply.com/chemical/chlorine/chillin-charlie-chlorinatorslz.html
White Mallard Chlorine Dispenser | 32131,White Mallard Chlorine Dispenser,$33.95,In stock,nan manufacturer sku: 32131 brand: POOLMASTER,https://www.freshpoolsupply.com/chemical/chlorine/white-mallard-chlorine-dispenserpav.html
Solar Color LED Chlorinator  | 87290,Solar Color LED Chlorinator,$32.95,In stock,nan manufacturer sku: 87290 brand: SWIMLINE,https://www.freshpoolsupply.com/chemical/chlorine/solar-color-led-chlorinator-qai.html
Shimmer N' Shock DiChlor 25 lb | CVDB025,ClearView Shimmer n Shock Di-Chlor Granular Shock 25lb,$171.95,Out of stock,Shimmer-N' ShockPart: Multiple - CVDB025Chlorine-based shock treatment to control bacteria and algae.Description•	Active Ingredient: 99% Sodium Dichlor•	No pre-dissolving•	Completely soluble•	No residue•	Will not cause pH bounce•	Economical shock treatment•	Restores sparkle and clarity to dull water•	Perfect for vinyl-lined or above ground pools•	Shock/shocks manufacturer sku: CVDB025 size: 25 lb brand: OREQ,https://www.freshpoolsupply.com/chemical/chlorine/shimmer-n-shock-dichlor-25-lbfyr.html
Derby Duck Spa Chlorinator | 8000,Derby Duck Spa Chemical Dispenser,$19.95,In stock,nan manufacturer sku: 8000 brand: A&B BRUSH,https://www.freshpoolsupply.com/chemical/chlorine/derby-duck-spa-chlorinatormon.html
Surfin Shark Spa Chlorinator | 11202,Surfin Shark Spa Chlorinator,$19.95,In stock,nan manufacturer sku: 11202 brand: GAME,https://www.freshpoolsupply.com/chemical/chlorine/surfin-shark-spa-chlorinatoryvm.html
Shimmer N' Shock DiChlor 50 lb | CVDB050,ClearView Shimmer n Shock Di-Chlor Granular Shock 50lb,$276.95,Out of stock,Shimmer-N' ShockPart: Multiple - CVDB050Chlorine-based shock treatment to control bacteria and algae.Description•	Active Ingredient: 99% Sodium Dichlor•	No pre-dissolving•	Completely soluble•	No residue•	Will not cause pH bounce•	Economical shock treatment•	Restores sparkle and clarity to dull water•	Perfect for vinyl-lined or above ground pools•	Shock/shocks manufacturer sku: CVDB050 size: 50 lb brand: OREQ,https://www.freshpoolsupply.com/chemical/chlorine/shimmer-n-shock-dichlor-50-lbxnt.html
Shimmer N' Shock DiChlor 10 lb | CVDB010,ClearView Shimmer n Shock Di-Chlor Granular Shock 10lb,$77.95,Out of stock,Shimmer-N' ShockPart: Multiple - CVDB010Chlorine-based shock treatment to control bacteria and algae.Description•	Active Ingredient: 99% Sodium Dichlor•	No pre-dissolving•	Completely soluble•	No residue•	Will not cause pH bounce•	Economical shock treatment•	Restores sparkle and clarity to dull water•	Perfect for vinyl-lined or above ground pools•	Shock/shocks manufacturer sku: CVDB010 size: 10 lb brand: OREQ,https://www.freshpoolsupply.com/chemical/chlorine/shimmer-n-shock-dichlor-10-lbjpp.html
PL MPT Tabs 21lb | 42122,Poolife MPT Extra,$159.95,Out of stock,nan manufacturer sku: 42122 size: 21 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-mpt-tabs-21lboro.html
PL Active Cleaning Granules 100 lb | 22230,Poolife Active Cleaning Granules 68% Cal-Hypo Granular,$328.95,In stock,nan manufacturer sku: 22230 size: 100 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-active-cleaning-granules-100-lbhjn.html
PL Rapid Shock 1 lb 24pk | 22232PK24,Poolife Rapid Shock 1 lb 24pk,$131.95,Out of stock,"Poolife™ Rapid Shock™ Shock TreatmentQuickly brings chlorine levels into balance after heavy pool usage and after rain or windstorms. It works fast to rid the pool water of contaminants and keep it ready for a refreshing, clean swim.•	After a good pool party—or a good rain or windstorm—contaminants can build up in your pool water•	Poolife™ Rapid Shock works fast to clear contaminants, so your pool water is ready for your next clean, refreshing swim•	Cal Hypo formula quickly brings chlorine levels into balance without adding additional cyanuric acid (CYA)•	Use Poolife™ Rapid Shock to shock treat your pool water once a week—no need to pre-mix•	For best results, test and balance your pool water then follow the easy step-by-step, on-pack instructions to shock treat•	Active ingredient: 68% Calcium Hypochlorite (Cal Hypo) manufacturer sku: 22232PK24 size: 24 lb brand: POOLIFE",https://www.freshpoolsupply.com/chemical/chlorine/pl-rapid-shock-1-lb-24pkcln.html
PL Rapid Shock 1 lb 12pk | 22232PK12,Poolife Rapid Shock 1 lb 12pk,$69.95,In stock,"Poolife™ Rapid Shock™ Shock TreatmentQuickly brings chlorine levels into balance after heavy pool usage and after rain or windstorms. It works fast to rid the pool water of contaminants and keep it ready for a refreshing, clean swim.•	After a good pool party—or a good rain or windstorm—contaminants can build up in your pool water•	Poolife™ Rapid Shock works fast to clear contaminants, so your pool water is ready for your next clean, refreshing swim•	Cal Hypo formula quickly brings chlorine levels into balance without adding additional cyanuric acid (CYA)•	Use Poolife™ Rapid Shock to shock treat your pool water once a week—no need to pre-mix•	For best results, test and balance your pool water then follow the easy step-by-step, on-pack instructions to shock treat•	Active ingredient: 68% Calcium Hypochlorite (Cal Hypo) manufacturer sku: 22232PK12 size: 12 lb brand: POOLIFE",https://www.freshpoolsupply.com/chemical/chlorine/pl-rapid-shock-1-lb-12pkxgm.html
PL NST Prime 39.4lb | 22426,"Poolife NST Prime 70% Cal-Hypo Tablet, 39.4lb.",$296.95,In stock,nan manufacturer sku: 22426 size: 39.4 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-nst-prime-39-4lblvk.html
PL Rapid Shock 1 lb | 22232,Poolife Rapid Shock,$6.95,In stock,"Poolife™ Rapid Shock™ Shock TreatmentQuickly brings chlorine levels into balance after heavy pool usage and after rain or windstorms. It works fast to rid the pool water of contaminants and keep it ready for a refreshing, clean swim.•	After a good pool party—or a good rain or windstorm—contaminants can build up in your pool water•	Poolife™ Rapid Shock works fast to clear contaminants, so your pool water is ready for your next clean, refreshing swim•	Cal Hypo formula quickly brings chlorine levels into balance without adding additional cyanuric acid (CYA)•	Use Poolife™ Rapid Shock to shock treat your pool water once a week—no need to pre-mix•	For best results, test and balance your pool water then follow the easy step-by-step, on-pack instructions to shock treat•	Active ingredient: 68% Calcium Hypochlorite (Cal Hypo) manufacturer sku: 22232 size: 1 lb brand: POOLIFE",https://www.freshpoolsupply.com/chemical/chlorine/pl-rapid-shock-1-lbmjh.html
PL Back To Blue 1 KIT | 92106,Poolife Back To Blue,$38.95,Out of stock,nan manufacturer sku: 92106 size: 4.6 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-back-to-blue-1-kitjqb.html
PL MPT Tabs 11lb | 42121,Poolife MPT Extra,$109.95,Out of stock,nan manufacturer sku: 42121 size: 11 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-mpt-tabs-11lbuat.html
"PL 1"" Tabs 5lb | 42104","Poolife 1"" Cleaning Tablets",$56.95,In stock,nan manufacturer sku: 42104 size: 5 lb brand: POOLIFE,https://www.freshpoolsupply.com/chemical/chlorine/pl-1-tabs-5lbphj.html
